cve_id,cve_description,cwe_id,cwe_description
CVE-2006-2555,Parsing routine encounters NULL dereference when input is missing a colon separator.,CWE-690,Unchecked Return Value to NULL Pointer Dereference
CVE-2005-1894,Direct code injection into PHP script that can be accessed by attacker.,CWE-96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')
CVE-2004-0112,out-of-bounds read due to improper length check,CWE-125,Out-of-bounds Read
CVE-2024-5565,"Chain: library for generating SQL via LLMs using RAG uses a prompt function to present the user with visualized results, allowing altering of the prompt using prompt injection (CWE-1427) to run arbitrary Python code (CWE-94) instead of the intended visualization code.",CWE-1427,Improper Neutralization of Input Used for LLM Prompting
CVE-2019-10458,sandbox bypass using a method that is on an allowlist,CWE-183,Permissive List of Allowed Inputs
CVE-2010-0211,"chain: unchecked return value (CWE-252) leads to free of invalid, uninitialized pointer (CWE-824).",CWE-252,Unchecked Return Value
CVE-2009-2692,Chain: uninitialized function pointers can be dereferenced allowing code execution,CWE-908,Use of Uninitialized Resource
CVE-2004-0128,Modification of assumed-immutable variable in configuration script leads to file inclusion.,CWE-98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')
CVE-2000-1006,Blank charset attribute in MIME header triggers crash.,CWE-230,Improper Handling of Missing Values
CVE-2001-0191,"By replacing a valid cookie value with an extremely long string of characters, an attacker may overflow the application's buffers.",CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2000-1218,"DNS server can accept DNS updates from hosts that it did not query, leading to cache poisoning",CWE-940,Improper Verification of Source of a Communication Channel
CVE-2020-17533,Chain: unchecked return value (CWE-252) of some functions for policy enforcement leads to authorization bypass (CWE-862),CWE-252,Unchecked Return Value
CVE-2005-2154,PHP local file inclusion.,CWE-829,Inclusion of Functionality from Untrusted Control Sphere
CVE-2002-1772,Gain certain rights via privilege chaining in alternate channel.,CWE-268,Privilege Chaining
CVE-2002-1696,Decrypted copy of a message written to disk given a combination of options and when user replies to an encrypted message.,CWE-313,Cleartext Storage in a File or on Disk
CVE-2019-10482,"Smartphone OS uses comparison functions that are not in constant time, allowing side channels",CWE-208,Observable Timing Discrepancy
CVE-2022-30320,Programmable Logic Controller (PLC) uses a protocol with a cryptographically insecure hashing algorithm for passwords.,CWE-327,Use of a Broken or Risky Cryptographic Algorithm
CVE-2004-0772,Double free resultant from certain error conditions.,CWE-1341,Multiple Releases of Same Resource or Handle
CVE-2020-9437,authentication / identity management product has client-side template injection,CWE-1336,Improper Neutralization of Special Elements Used in a Template Engine
CVE-2019-13398,injection of sed script syntax (sed injection),CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection')
CVE-2005-2548,"Kernel code specifies the wrong variable in first argument, leading to resultant NULL pointer dereference.",CWE-688,Function Call With Incorrect Variable or Reference as Argument
CVE-2022-29238,"Access-control setting in web-based document collaboration tool is not properly implemented by the code, which prevents listing hidden directories but does not prevent direct requests to files in those directories.",CWE-424,Improper Protection of Alternate Path
CVE-2009-3597,"Web application stores database file under the web root with insufficient access control (CWE-219), allowing direct request.",CWE-862,Missing Authorization
CVE-2002-0433,List files in web server using *.ext,CWE-56,Path Equivalence: 'filedir*' (Wildcard)
CVE-2019-6260,"Baseboard Management Controller (BMC) device implements Advanced High-performance Bus (AHB) bridges that do not require authentication for arbitrary read and write access to the BMC's physical address space from the host, and possibly the network [REF-1138].",CWE-1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC)
CVE-2022-30271,Remote Terminal Unit (RTU) uses a hard-coded SSH private key that is likely to be used in typical deployments,CWE-1391,Use of Weak Credentials
CVE-2002-2227,Unchecked length of SSLv2 challenge value leads to buffer underflow.,CWE-786,Access of Memory Location Before Start of Buffer
CVE-2010-1772,Timers are not disabled when a related object is deleted,CWE-416,Use After Free
CVE-2004-0294,"Bulletin Board displays different error messages when a user exists or not, which makes it easier for remote attackers to identify valid users and conduct a brute force password guessing attack.",CWE-204,Observable Response Discrepancy
CVE-2019-1010006,"Chain: compiler optimization (CWE-733) removes or modifies code used to detect integer overflow (CWE-190), allowing out-of-bounds write (CWE-787).",CWE-787,Out-of-bounds Write
CVE-2008-2613,setuid program allows compromise using path that finds and loads a malicious library.,CWE-426,Untrusted Search Path
CVE-2006-4447,"Program does not check return value when invoking functions to drop privileges, which could leave users with higher privileges than expected by forcing those functions to fail.",CWE-754,Improper Check for Unusual or Exceptional Conditions
CVE-2000-0884,"Server allows remote attackers to read documents outside of the web root, and possibly execute arbitrary commands, via malformed URLs that contain Unicode encoded characters.",CWE-176,Improper Handling of Unicode Encoding
CVE-2022-22547,A troubleshooting tool exposes a web server on a random port between 9000-65535 that could be used for information gathering,CWE-923,Improper Restriction of Communication Channel to Intended Endpoints
CVE-2006-4407,Improper prioritization of encryption ciphers during negotiation leads to use of a weaker cipher.,CWE-757,Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade')
CVE-2008-5817,SQL injection via user name or password fields.,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2002-1771,CRLF injection enables spam proxy (add mail headers) using email address or name.,CWE-93,Improper Neutralization of CRLF Sequences ('CRLF Injection')
CVE-2019-15118,USB-audio driver's descriptor code parsing allows unlimited recursion leading to stack exhaustion.,CWE-674,Uncontrolled Recursion
CVE-2006-5462,use of extra data in a signature allows certificate signature forging,CWE-349,Acceptance of Extraneous Untrusted Data With Trusted Data
CVE-2007-5727,"Chain: incomplete denylist (CWE-184) only removes SCRIPT tags, enabling XSS (CWE-79)",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2004-0274,"Product mistakenly assigns a particular status to an entity, leading to increased privileges.",CWE-266,Incorrect Privilege Assignment
[REF-1374],"Chain: JavaScript-based cryptocurrency library can fall back to the insecure Math.random() function instead of reporting a failure (CWE-392), thus reducing the entropy (CWE-332) and leading to generation of non-unique cryptographic keys for Bitcoin wallets (CWE-1391)",CWE-332,Insufficient Entropy in PRNG
CVE-2021-3692,PHP framework uses mt_rand() function (Marsenne Twister) when generating tokens,CWE-338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)
CVE-2022-31260,Chain: a digital asset management program has an undisclosed backdoor in the legacy version of a PHP script (CWE-912) that could allow an unauthenticated user to export metadata (CWE-306),CWE-306,Missing Authentication for Critical Function
CVE-2008-3475,Chain: Improper initialization leads to memory corruption.,CWE-908,Use of Uninitialized Resource
CVE-2008-4122,Chain: Use of HTTPS cookie without secure flag causes it to be transmitted across unencrypted HTTP.,CWE-311,Missing Encryption of Sensitive Data
CVE-2015-1743,"TOCTOU in sandbox process allows installation of untrusted browser add-ons by replacing a file after it has been verified, but before it is executed",CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition
CVE-2008-2958,chain: time-of-check time-of-use (TOCTOU) race condition in program allows bypass of protection mechanism that was designed to prevent symlink attacks.,CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition
CVE-2002-1532,HTTP GET without rnrn CRLF sequences causes product to wait indefinitely and prevents other users from accessing it,CWE-166,Improper Handling of Missing Special Element
CVE-2009-2726,"Driver does not use a maximum width when invoking sscanf style functions, causing stack consumption.",CWE-770,Allocation of Resources Without Limits or Throttling
CVE-2008-1440,lack of validation of length field leads to infinite loop,CWE-1284,Improper Validation of Specified Quantity in Input
CVE-2011-3288,XML bomb / XEE in enterprise communication product.,CWE-776,Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion')
CVE-2020-11053,Chain: Go-based Oauth2 reverse proxy can send the authenticated user to another site at the end of the authentication flow. A redirect URL with HTML-encoded whitespace characters can bypass the validation (CWE-1289) to redirect to a malicious site (CWE-601),CWE-1289,Improper Validation of Unsafe Equivalence in Input
CVE-2008-2934,Crafted GIF image leads to free of uninitialized pointer.,CWE-824,Access of Uninitialized Pointer
CVE-2004-1363,substitution overflow: buffer overflow using environment variables that are expanded after the length check is performed,CWE-682,Incorrect Calculation
CVE-2001-0003,Product does not correctly import and process security settings from another product.,CWE-115,Misinterpretation of Input
CVE-2003-0022,Terminal escape sequences not filtered by terminals when displaying files.,CWE-150,"Improper Neutralization of Escape, Meta, or Control Sequences"
CVE-2009-3107,"product does not restrict access to a listening port for a critical service, allowing authentication to be bypassed.",CWE-287,Improper Authentication
CVE-2022-30018,"A messaging platform serializes all elements of User/Group objects, making private information available to adversaries",CWE-522,Insufficiently Protected Credentials
CVE-2019-11358,Prototype pollution by merging objects recursively.,CWE-1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution')
CVE-2006-6510,kiosk allows bypass to read files,CWE-623,Unsafe ActiveX Control Marked Safe For Scripting
CVE-2007-4268,"Chain: integer signedness error (CWE-195) passes signed comparison, leading to heap overflow (CWE-122)",CWE-788,Access of Memory Location After End of Buffer
CVE-2005-3153,Null byte bypasses PHP regexp check.,CWE-185,Incorrect Regular Expression
CVE-2002-2054,Gain privileges by setting cookie.,CWE-302,Authentication Bypass by Assumed-Immutable Data
CVE-2022-3203,"A wireless access point manual specifies that the only method of configuration is via web interface (CWE-1059), but there is an undisclosed telnet server that was activated by default (CWE-912).",CWE-1059,Insufficient Technical Documentation
CVE-2019-12041,Javascript code allows ReDoS via a long string due to excessive backtracking.,CWE-1333,Inefficient Regular Expression Complexity
CVE-2010-4476,Floating point conversion routine cycles back and forth between two different values.,CWE-835,Loop with Unreachable Exit Condition ('Infinite Loop')
CVE-2005-3180,Products do not fully clear memory buffers when less data is stored into the buffer than previous.,CWE-226,Sensitive Information in Resource Not Removed Before Reuse
CVE-2008-4113,"OS kernel trusts userland-supplied length value, allowing reading of sensitive information",CWE-788,Access of Memory Location After End of Buffer
CVE-2002-0638,Open file descriptor used as alternate channel in complex race condition.,CWE-403,Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak')
CVE-2007-1700,Incorrect reference count calculation leads to improper object destruction and code execution.,CWE-911,Improper Update of Reference Count
CVE-2006-1865,"Beagle before 0.2.5 can produce certain insecure command lines to launch external helper applications while indexing, which allows attackers to execute arbitrary commands. NOTE: it is not immediately clear whether this issue involves argument injection, shell metacharacters, or other issues.",CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CVE-2004-2214,HTTP server allows bypass of access restrictions using URIs with mixed case.,CWE-1289,Improper Validation of Unsafe Equivalence in Input
CVE-2004-1814,Directory traversal vulnerability in server allows remote attackers to read protected files via .. (dot dot) sequences in an HTTP request.,CWE-49,Path Equivalence: 'filename/' (Trailing Slash)
CVE-2021-33020,Picture Archiving and Communication System (PACS) system for hospitals uses a cryptographic key or password past its expiration date,CWE-324,Use of a Key Past its Expiration Date
CVE-2002-0160,"The administration function in Access Control Server allows remote attackers to read HTML, Java class, and image files outside the web root via a .... sequence in the URL to port 2002.",CWE-31,Path Traversal: 'dir....filename'
CVE-2006-7191,Untrusted search path vulnerability through modified LD_LIBRARY_PATH environment variable.,CWE-642,External Control of Critical State Data
CVE-2002-1986,Source code disclosure using trailing dot,CWE-41,Improper Resolution of Path Equivalence
CVE-2003-1233,Rootkits can bypass file access restrictions to Windows kernel directories using NtCreateSymbolicLinkObject function to create symbolic link,CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2004-0061,Bypass directory access restrictions using trailing dot in URL,CWE-54,Path Equivalence: 'filedir' (Trailing Backslash)
CVE-2002-2227,Unchecked length of SSLv2 challenge value leads to buffer underflow.,CWE-787,Out-of-bounds Write
CVE-2004-2163,"Shared secret not verified in a RADIUS response packet, allowing authentication bypass by spoofing server replies.",CWE-358,Improperly Implemented Security Check for Standard
CVE-2008-2108,"Chain: insufficient precision (CWE-1339) in random-number generator causes some zero bits to be reliably generated, reducing the amount of entropy (CWE-331)",CWE-1339,Insufficient Precision or Accuracy of a Real Number
CVE-2018-14730,"WebSocket server does not check the origin of requests, allowing attackers to steal developer's code using a ws://127.0.0.1:3123/ connection.",CWE-1385,Missing Origin Validation in WebSockets
CVE-2007-5277,The failure of connection attempts in a web browser resets DNS pin restrictions. An attacker can then bypass the same origin policy by rebinding a domain name to a different IP address. This was an attempt to fail functional.,CWE-657,Violation of Secure Design Principles
CVE-2003-0777,Interrupted step causes resultant lack of null termination.,CWE-170,Improper Null Termination
CVE-2007-5626,Backup routine sends password in cleartext in email.,CWE-311,Missing Encryption of Sensitive Data
CVE-2016-1561,"backup storage product has a default SSH public key in the authorized_keys file, allowing root access",CWE-1394,Use of Default Cryptographic Key
CVE-2002-1372,"Chain: Return values of file/socket operations are not checked (CWE-252), allowing resultant consumption of file descriptors (CWE-772).",CWE-252,Unchecked Return Value
CVE-2000-1052,Source code disclosure by directly invoking a servlet.,CWE-430,Deployment of Wrong Handler
CVE-2010-2073,FTP server library uses hard-coded usernames and passwords for three default accounts,CWE-798,Use of Hard-coded Credentials
CVE-2008-4577,"ACL-based protection mechanism treats negative access rights as if they are positive, allowing bypass of intended restrictions.",CWE-285,Improper Authorization
CVE-2020-1791,"There is an improper authorization vulnerability in several smartphones. The system has a logic-judging error, and, under certain scenarios, a successful exploit could allow the attacker to switch to third desktop after a series of operations in ADB mode. (Vulnerability ID: HWPSIRT-2019-10114).",CWE-1296,Incorrect Chaining or Granularity of Debug Components
CVE-2015-7763,"distributed filesystem only initializes part of the variable-length padding for a packet, allowing attackers to read sensitive information from previously-sent packets in the same memory location",CWE-1419,Incorrect Initialization of Resource
CVE-2005-2301,"Server does not properly escape LDAP queries, which allows remote attackers to cause a DoS and possibly conduct an LDAP injection attack.",CWE-90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')
CVE-1999-1077,"OS allows local attackers to bypass the password protection of idled sessions via the programmer's switch or CMD-PWR keyboard sequence, which brings up a debugger that the attacker can use to disable the lock.",CWE-288,Authentication Bypass Using an Alternate Path or Channel
CVE-2022-31204,Programmable Logic Controller (PLC) sends password in plaintext.,CWE-319,Cleartext Transmission of Sensitive Information
CVE-2001-0933,FTP server allows remote attackers to list the contents of arbitrary drives via a ls command that includes the drive letter as an argument.,CWE-39,Path Traversal: 'C:dirname'
CVE-2005-2272,"Visual distinction: Web browsers do not clearly associate a Javascript dialog box with the web page that generated it, allowing spoof of the source of the dialog. origin validation error of a sort?",CWE-451,User Interface (UI) Misrepresentation of Critical Information
CVE-2002-2175,"insertion of username into regexp results in partial comparison, causing wrong database entry to be updated when one username is a substring of another.",CWE-625,Permissive Regular Expression
CVE-2004-0956,Database allows remote attackers to cause a denial of service (application crash) via a MATCH AGAINST query with an opening double quote but no closing double quote.,CWE-149,Improper Neutralization of Quoting Syntax
CVE-2003-0740,"Server leaks a privileged file descriptor, allowing the server to be hijacked.",CWE-402,Transmission of Private Resources into a New Sphere ('Resource Leak')
CVE-2003-0001,"Ethernet NIC drivers do not pad frames with null bytes, leading to infoleak from malformed packets.",CWE-226,Sensitive Information in Resource Not Removed Before Reuse
CVE-2002-1483,Read files with full pathname using multiple internal slash.,CWE-50,Path Equivalence: '//multiple/leading/slash'
CVE-2001-0398,Attachment with many spaces in filename bypasses dangerous content warning and uses different icon. Likely resultant.,CWE-451,User Interface (UI) Misrepresentation of Critical Information
CVE-2008-4638,"Composite: application running with high privileges (CWE-250) allows user to specify a restricted file to process, which generates a parsing error that leaks the contents of the file (CWE-209).",CWE-250,Execution with Unnecessary Privileges
CVE-2018-3825,cloud cluster management product has a default master encryption key,CWE-1392,Use of Default Credentials
CVE-2002-0298,"Server allows remote attackers to cause a denial of service via certain HTTP GET requests containing a %2e%2e (encoded dot-dot), several /../ sequences, or several ../ in a URI.",CWE-27,Path Traversal: 'dir/../../filename'
CVE-2021-21272,Zip Slip vulnerability in Go-based Open Container Initiative (OCI) registries product allows writing arbitrary files outside intended directory via symbolic links or hard links in a gzipped tarball.,CWE-62,UNIX Hard Link
CVE-2002-1169,Proxy allows remote attackers to cause a denial of service (crash) via an HTTP request to helpout.exe with a missing HTTP version numbers.,CWE-234,Failure to Handle Missing Parameter
CVE-2023-5227,PHP-based FAQ management app does not check the MIME type for uploaded images,CWE-669,Incorrect Resource Transfer Between Spheres
CVE-2008-7109,Chain: reliance on client-side security (CWE-602) allows attackers to bypass authorization using a custom client.,CWE-862,Missing Authorization
CVE-2005-1736,Chaining of user rights.,CWE-268,Privilege Chaining
CVE-2000-0191,application check access for restricted URL before canonicalization,CWE-57,Path Equivalence: 'fakedir/../realdir/filename'
CVE-2020-17087,"Chain: integer truncation (CWE-197) causes small buffer allocation (CWE-131) leading to out-of-bounds write (CWE-787) in kernel pool, as exploited in the wild per CISA KEV.",CWE-197,Numeric Truncation Error
CVE-2007-3749,"OS kernel does not reset a port when starting a setuid program, allowing local users to access the port and gain privileges.",CWE-665,Improper Initialization
CVE-2001-1072,"Bypass access restrictions via multiple leading slash, which causes a regular expression to fail.",CWE-41,Improper Resolution of Path Equivalence
CVE-2019-9805,"Chain: Creation of the packet client occurs before initialization is complete (CWE-696) resulting in a read from uninitialized memory (CWE-908), causing memory corruption.",CWE-696,Incorrect Behavior Order
CVE-2009-2054,Product allows exhaustion of file descriptors when processing a large number of TCP packets.,CWE-400,Uncontrolled Resource Consumption
CVE-2004-0642,Double free resultant from certain error conditions.,CWE-415,Double Free
CVE-2001-1567,"+ characters in query string converted to spaces before sensitive file/extension (internal space), leading to bypass of access restrictions to the file.",CWE-41,Improper Resolution of Path Equivalence
CVE-2007-3798,Unchecked return value leads to resultant integer overflow and code execution.,CWE-754,Improper Check for Unusual or Exceptional Conditions
CVE-2004-1084,Server allows remote attackers to read files and resource fork content via HTTP requests to certain special file names related to multiple data streams in HFS+.,CWE-72,Improper Handling of Apple HFS+ Alternate Data Stream Path
CVE-2022-2820,"Website software for game servers does not proprerly terminate user sessions, allowing for possible session fixation",CWE-384,Session Fixation
CVE-2015-1607,Program is not properly handling signed bitwise left-shifts causing an overlapping memcpy memory range error.,CWE-1335,Incorrect Bitwise Shift of Integer
CVE-2015-2150,"Virtualization product does not restrict access to PCI command registers, allowing host crash from the guest.",CWE-1262,Improper Access Control for Register Interface
CVE-2003-0020,Multi-channel issue. Terminal escape sequences not filtered from log files.,CWE-138,Improper Neutralization of Special Elements
CVE-2005-2837,Direct code injection into Perl eval function.,CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2007-4432,Untrusted search path vulnerability through modified LD_LIBRARY_PATH environment variable.,CWE-642,External Control of Critical State Data
CVE-2005-2946,"Default configuration of product uses MD5 instead of stronger algorithms that are available, simplifying forgery of certificates.",CWE-1240,Use of a Cryptographic Primitive with a Risky Implementation
CVE-2004-0261,Web auth,CWE-302,Authentication Bypass by Assumed-Immutable Data
CVE-2021-35033,"Firmware for a WiFi router uses a hard-coded password for a BusyBox shell, allowing bypass of authentication through the UART port",CWE-798,Use of Hard-coded Credentials
CVE-2021-3510,JSON decoder accesses a C union using an invalid offset to an object,CWE-588,Attempt to Access Child of a Non-structure Pointer
CVE-2005-1742,Inappropriate actions allowed by a particular role(Unsafe privileged actions).,CWE-267,Privilege Defined With Unsafe Actions
CVE-2021-21973,"Server Side Request Forgery in cloud platform, as exploited in the wild per CISA KEV.",CWE-918,Server-Side Request Forgery (SSRF)
CVE-2004-1072,"Fault causes resultant lack of null termination, leading to buffer expansion.",CWE-170,Improper Null Termination
CVE-2009-2403,Heap-based buffer overflow in media player using a long entry in a playlist,CWE-787,Out-of-bounds Write
CVE-2008-3662,"A product does not set the secure flag for the session cookie in an https session, which can cause the cookie to be sent in http requests and make it easier for remote attackers to capture this cookie.",CWE-614,Sensitive Cookie in HTTPS Session Without 'Secure' Attribute
CVE-2008-3688,chain: Uninitialized variable leads to infinite loop.,CWE-665,Improper Initialization
CVE-2003-0282,"Directory traversal vulnerability allows attackers to overwrite arbitrary files via invalid characters between two . (dot) characters, which are filtered and result in a .. sequence.",CWE-181,Incorrect Behavior Order: Validate Before Filter
CVE-2004-0537,Overlay: Wide favorites icon can overlay and obscure address bar,CWE-451,User Interface (UI) Misrepresentation of Critical Information
CVE-2010-0378,unload of an object that is currently being accessed by other functionality,CWE-416,Use After Free
CVE-2005-3153,"inserting SQL after a NUL byte bypasses allowlist regexp, enabling SQL injection",CWE-626,Null Byte Interaction Error (Poison Null Byte)
CVE-2007-5172,Program reveals password in error message if attacker can trigger certain database errors.,CWE-209,Generation of Error Message Containing Sensitive Information
CVE-2001-1072,"Bypass access restrictions via multiple leading slash, which causes a regular expression to fail.",CWE-50,Path Equivalence: '//multiple/leading/slash'
CVE-2007-2237,Height value of 0 triggers divide by zero.,CWE-369,Divide By Zero
CVE-2008-3775,Product uses ROT-25 to obfuscate the password in the registry.,CWE-327,Use of a Broken or Risky Cryptographic Algorithm
CVE-2014-1266,"chain: incorrect goto in Apple SSL product bypasses certificate validation, allowing Adversry-in-the-Middle (AITM) attack (Apple goto fail bug). CWE-705 (Incorrect Control Flow Scoping) -> CWE-561 (Dead Code) -> CWE-295 (Improper Certificate Validation) -> CWE-393 (Return of Wrong Status Code) -> CWE-300 (Channel Accessible by Non-Endpoint).",CWE-923,Improper Restriction of Communication Channel to Intended Endpoints
CVE-2010-2306,"Intrusion Detection System (IDS) uses the same static, private SSL keys for multiple devices and installations, allowing decryption of SSL traffic",CWE-1392,Use of Default Credentials
CVE-2022-1509,injection of sed script syntax (sed injection),CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CVE-2003-0578,"Server creates hard links and unlinks files as root, which allows local users to gain privileges by deleting and overwriting arbitrary files.",CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2004-0207,User can call certain API functions to modify certain properties of privileged programs.,CWE-422,Unprotected Windows Messaging Channel ('Shatter')
CVE-2007-6652,chain: execution after redirect allows non-administrator to perform static code injection.,CWE-698,Execution After Redirect (EAR)
CVE-2001-0717,format string in bad call to syslog function,CWE-134,Use of Externally-Controlled Format String
CVE-2009-3230,Database server does not use appropriate privileges for certain sensitive operations.,CWE-285,Improper Authorization
CVE-2004-2032,Bypass URL filter via a long URL with a large number of trailing hex-encoded space characters.,CWE-222,Truncation of Security-relevant Information
CVE-2009-2213,Gateway uses default Allow configuration for its authorization settings.,CWE-863,Incorrect Authorization
CVE-2004-0829,Chain: File server crashes when sent a find next request without an initial find first.,CWE-841,Improper Enforcement of Behavioral Workflow
CVE-2005-0408,"chain: product generates predictable MD5 hashes using a constant value combined with username, allowing authentication bypass.",CWE-522,Insufficiently Protected Credentials
CVE-2005-1185,Small handful of others. Program doesn't quote the C:Program Files path when calling a program to be executed - or any other path with a directory or file whose name contains a space - so attacker can put a malicious program.exe into C:.,CWE-428,Unquoted Search Path or Element
CVE-2006-1834,chain: signedness error allows bypass of a length check; later sign extension makes exploitation easier.,CWE-194,Unexpected Sign Extension
CVE-2000-1117,Virtual machine allows malicious web site operators to determine the existence of files on the client by measuring delays in the execution of the getSystemResource method.,CWE-203,Observable Discrepancy
CVE-2019-13475,"Argument injection allows execution of arbitrary commands by injecting a -exec option, which is executed by the command.",CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CVE-2001-1186,"Web server allows remote attackers to cause a denial of service via an HTTP request with a content-length value that is larger than the size of the request, which prevents server from timing out the connection.",CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2002-1757,Relies on $PHP_SELF variable for authentication.,CWE-471,Modification of Assumed-Immutable Data (MAID)
CVE-2021-22204,"Chain: regex in EXIF processor code does not correctly determine where a string ends (CWE-625), enabling eval injection (CWE-95), as exploited in the wild per CISA KEV.",CWE-625,Permissive Regular Expression
CVE-2003-0422,CGI crashes when called without any arguments.,CWE-234,Failure to Handle Missing Parameter
CVE-2000-0506,User with capability can prevent setuid program from dropping privileges (Unsafe privileged actions).,CWE-267,Privilege Defined With Unsafe Actions
CVE-2009-1415,Improper handling of invalid signatures leads to free of invalid pointer.,CWE-824,Access of Uninitialized Pointer
CVE-2011-1027,Chain: off-by-one error (CWE-193) leads to infinite loop (CWE-835) using invalid hex-encoded characters.,CWE-834,Excessive Iteration
CVE-2008-5573,SQL injection via password parameter; a strong password might contain &,CWE-116,Improper Encoding or Escaping of Output
CVE-2002-0066,"Windows named pipe created without authentication/access control, allowing configuration modification.",CWE-420,Unprotected Alternate Channel
CVE-2007-0708,DoS in firewall using standard Microsoft functions,CWE-622,Improper Validation of Function Hook Arguments
CVE-1999-0012,Multiple web servers allow restriction bypass using 8.3 names instead of long names,CWE-58,Path Equivalence: Windows 8.3 Filename
CVE-2005-1652,Authentication bypass by setting a parameter.,CWE-472,External Control of Assumed-Immutable Web Parameter
CVE-2010-3131,DLL hijacking issue in web browser.,CWE-427,Uncontrolled Search Path Element
CVE-2019-12921,image program allows injection of commands in Magick Vector Graphics (MVG) language.,CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection')
CVE-2005-1366,CGI source disclosure using dirname/../cgi-bin,CWE-41,Improper Resolution of Path Equivalence
CVE-2005-2456,Chain: array index error (CWE-129) leads to deadlock (CWE-833),CWE-129,Improper Validation of Array Index
CVE-2021-3116,"Chain: Python-based HTTP Proxy server uses the wrong boolean operators (CWE-480) causing an incorrect comparison (CWE-697) that identifies an authN failure if all three conditions are met instead of only one, allowing bypass of the proxy authentication (CWE-1390)",CWE-1390,Weak Authentication
CVE-2001-0289,Product searches current working directory for configuration file.,CWE-427,Uncontrolled Search Path Element
CVE-2002-0671,VOIP phone downloads applications from web sites without verifying integrity.,CWE-494,Download of Code Without Integrity Check
